APPENDIX 1,,,,,,,,,,
PRODUCTION OF LAJAKKURUIH TABLETS,,,,,,,,,,
MONTH: APRIL 2023,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Tablet Name: PILL LAJAK KURUIH-G,,,,,,,,,,
Tablet Characteristics,,,,,,,,,,
,Weight (mg),Relative Density (%),Tensile Strength (Mpa),Shift,,,,,,
65,382.47,84.8,6.7,Morning,,,,,,
66,379.85,85,6.8,Morning,,,,,,
67,367.6,86.7,7.1,Night,,,,,,
68,364.44,85.8,6.9,Morning,,,,,,
69,350.8,86.7,6.8,Evening,,,,,,
70,369.39,88.3,7.1,Morning,,,,,,
71,353.61,88,7.2,Morning,,,,,,
72,332.48,88.3,7.1,Evening,,,,,,
73,369.13,91.8,7.5,Evening,,,,,,
74,352.84,88,7.2,Night,,,,,,
75,322.45,87.5,7.2,Evening,,,,,,
76,346,88.9,7.2,Night,,,,,,
77,346.05,85.5,6.9,Night,,,,,,
78,363.54,85.9,6.8,Morning,,,,,,
79,327.69,93.3,7.6,Morning,,,,,,
80,342.43,87.3,7.2,Morning,,,,,,
81,365.38,88.4,7.1,Night,,,,,,
82,367.04,90.7,7.4,Evening,,,,,,
83,358.1,89.8,7.2,Evening,,,,,,
84,346.81,85.6,7,Evening,,,,,,
85,344.17,86.6,6.9,Evening,,,,,,
86,336.24,90.3,7.3,Evening,,,,,,
87,350.23,89.8,7.2,Night,,,,,,
88,377.1,89,7.4,Morning,,,,,,
89,358.26,86.7,7.1,Night,,,,,,
90,319.72,85.4,7.2,Evening,,,,,,
91,342.42,85.3,6.9,Morning,,,,,,
92,354.13,85.9,7,Morning,,,,,,
93,324.88,90.6,7.2,Night,,,,,,
94,356.98,89.4,7.3,Evening,,,,,,
95,334.42,87,7.1,Evening,,,,,,
96,338.78,90.7,7.2,Night,,,,,,
97,377.54,90.8,7.3,Morning,,,,,,
98,359.98,86.3,7,Evening,,,,,,
99,358.9,90.6,7.4,Night,,,,,,
100,369.32,87.6,7.1,Night,,,,,,
101,360.73,84.5,7.1,Night,,,,,,
102,359.42,86.1,7,Night,,,,,,
103,354.02,88.2,7.2,Morning,,,,,,
104,364.34,88.5,7.1,Night,,,,,,
105,344.42,86.9,7.1,Evening,,,,,,
106,347.74,88.3,7.1,Night,,,,,,
107,351.61,92,7.5,Night,,,,,,
108,353.23,88.5,7.3,Evening,,,,,,
109,371.39,89.4,7.2,Evening,,,,,,
110,339.48,90.5,7.3,Night,,,,,,
111,366.92,84.9,6.9,Morning,,,,,,
112,337.99,89.5,7.2,Morning,,,,,,
113,334.86,90.5,7.4,Evening,,,,,,
114,347.22,90.8,7.3,Night,,,,,,
115,373.49,86.7,6.9,Evening,,,,,,
116,371.83,88.7,7.1,Morning,,,,,,
117,351.57,88.8,7.2,Evening,,,,,,
118,359.89,89.5,7.4,Evening,,,,,,
119,356.99,88.2,7.1,Evening,,,,,,
120,340.2,88,6.9,Morning,,,,,,
121,335.03,87.7,7,Night,,,,,,
122,359.1,83.7,6.7,Evening,,,,,,
123,362.28,91,7.3,Night,,,,,,
124,365.76,91.5,7.5,Night,,,,,,
125,342.82,88.9,7.2,Evening,,,,,,
126,351.71,86.6,7.1,Morning,,,,,,
127,347.6,88.4,7.2,Evening,,,,,,
128,335.19,86.3,7.2,Morning,,,,,,
129,368.73,85.5,7,Morning,,,,,,
130,343.23,86.2,6.9,Morning,,,,,,
131,317.79,87.6,7.1,Evening,,,,,,
132,362.13,89.9,7.2,Night,,,,,,
133,326.43,89.1,7.2,Morning,,,,,,
134,360.64,89.4,7.3,Night,,,,,,
135,355.47,89.6,7.1,Morning,,,,,,
136,353.36,87.3,7.2,Evening,,,,,,
137,361.48,88.6,7.2,Night,,,,,,
138,345.89,87.6,7.3,Evening,,,,,,
139,344.04,90,7.4,Night,,,,,,
140,349.33,89.1,7.4,Evening,,,,,,
141,350.94,88.5,7.2,Morning,,,,,,
142,380.04,88,7.1,Evening,,,,,,
143,356.2,85.1,6.8,Night,,,,,,
144,380.53,87.7,7,Night,,,,,,
145,358.67,86,7,Morning,,,,,,
146,348.56,88.7,7.2,Morning,,,,,,
147,336.92,86.8,7.2,Night,,,,,,
148,348.88,89.8,7.5,Morning,,,,,,
149,343.56,87.7,7.2,Night,,,,,,
150,366.39,87.6,7.2,Evening,,,,,,
151,353.32,86,7.1,Night,,,,,,
152,345.57,89.1,7.3,Morning,,,,,,
153,347.59,89.1,7.2,Evening,,,,,,
154,355.57,88.8,7.1,Evening,,,,,,
155,338.83,85.7,6.9,Evening,,,,,,
156,356.02,91.7,7.4,Evening,,,,,,
157,365.61,89.4,7.2,Night,,,,,,
158,332.71,87.1,7,Night,,,,,,
159,361.25,86.6,7.1,Night,,,,,,
160,352.33,86.5,7.1,Evening,,,,,,
161,343.06,88.7,7.2,Night,,,,,,
162,327.82,91.9,7.3,Evening,,,,,,
163,365.11,86.9,7,Night,,,,,,
164,341.56,86.6,7,Morning,,,,,,
165,360.68,87.6,7.1,Night,,,,,,
166,376.3,87,7,Evening,,,,,,
167,379.69,90.5,7.4,Night,,,,,,
168,319.71,88.3,7.2,Evening,,,,,,
169,348.97,86.7,6.9,Morning,,,,,,
170,337.38,86.1,7,Morning,,,,,,
171,364.42,85.8,6.9,Morning,,,,,,
172,344.33,89.9,7.3,Evening,,,,,,
173,338.6,89,7.3,Evening,,,,,,
174,363.99,86.1,7.1,Morning,,,,,,
175,343.5,84.1,6.8,Morning,,,,,,
176,334.02,82.3,6.8,Evening,,,,,,
177,348.84,84.6,6.9,Evening,,,,,,
178,360.33,89.3,7,Morning,,,,,,
179,365.79,90.2,7.2,Night,,,,,,
180,352.07,86.9,6.9,Morning,,,,,,
181,353.96,89,7.2,Evening,,,,,,
182,334.78,91.2,7.3,Night,,,,,,
183,323.8,88.2,7.3,Morning,,,,,,
184,356.75,86.9,7.1,Night,,,,,,
185,352.96,87.2,7,Morning,,,,,,
186,340.75,89,7.3,Morning,,,,,,
187,336.72,84.9,6.9,Evening,,,,,,
188,348.8,87.2,6.9,Night,,,,,,
189,340.17,86.3,7.1,Evening,,,,,,
190,343.84,86.3,6.9,Morning,,,,,,
191,328.8,87,7.2,Evening,,,,,,
192,347.55,87,7.1,Evening,,,,,,
193,369.02,86.3,7.1,Morning,,,,,,
194,379.7,87.8,7,Morning,,,,,,
195,314.57,91.6,7.5,Morning,,,,,,
196,344.97,86.6,7,Morning,,,,,,
197,348.24,89.6,7.3,Evening,,,,,,
198,342.66,91.1,7.4,Night,,,,,,
199,334.63,90.2,7.4,Night,,,,,,
200,361.96,88.4,7.2,Morning,,,,,,
201,351.89,88.8,7.1,Night,,,,,,
202,367.78,84.4,6.9,Night,,,,,,
203,350.61,90,7.5,Evening,,,,,,
204,319.99,86.4,7,Evening,,,,,,
205,366.06,86.8,7.1,Morning,,,,,,
206,355.94,85.4,7,Morning,,,,,,
207,353.4,84,6.7,Night,,,,,,
208,363.21,87.8,7.1,Morning,,,,,,
209,349.65,88,7.1,Night,,,,,,
210,353.21,85.6,6.9,Evening,,,,,,
211,361.32,88.5,7.3,Night,,,,,,
212,353.02,87.5,6.9,Evening,,,,,,
213,354.14,86.1,7.1,Evening,,,,,,
214,356.49,89.5,7.4,Morning,,,,,,
215,356.64,90.8,7.4,Night,,,,,,
216,335.29,87.5,7,Night,,,,,,
217,349.53,90,7.6,Morning,,,,,,
218,349.17,85.7,6.8,Evening,,,,,,
219,366.31,87.3,7,Evening,,,,,,
220,365.47,91.1,7.2,Evening,,,,,,
221,349.45,91,7.4,Night,,,,,,
222,355.81,89.8,7.4,Morning,,,,,,
223,358.31,90.1,7.3,Morning,,,,,,
224,341.28,88.2,7.3,Evening,,,,,,
225,382.47,84.8,6.7,Morning,,,,,,
226,379.85,85,6.8,Morning,,,,,,
227,367.6,86.7,7.1,Night,,,,,,
228,364.44,85.8,6.9,Morning,,,,,,
229,350.8,86.7,6.8,Evening,,,,,,
230,369.39,88.3,7.1,Morning,,,,,,
231,342.42,85.3,6.9,Morning,,,,,,
232,354.13,85.9,7,Morning,,,,,,
233,324.88,90.6,7.2,Night,,,,,,
234,356.98,89.4,7.3,Evening,,,,,,
235,334.42,87,7.1,Evening,,,,,,
236,338.78,90.7,7.2,Night,,,,,,
237,377.54,90.8,7.3,Morning,,,,,,
238,359.98,86.3,7,Evening,,,,,,
239,358.9,90.6,7.4,Night,,,,,,
240,369.32,87.6,7.1,Night,,,,,,
241,335.03,87.7,7,Night,,,,,,
242,359.1,83.7,6.7,Evening,,,,,,
243,362.28,91,7.3,Night,,,,,,
244,365.76,91.5,7.5,Night,,,,,,
245,342.82,88.9,7.2,Evening,,,,,,
246,351.71,86.6,7.1,Morning,,,,,,
247,347.6,88.4,7.2,Evening,,,,,,
248,335.19,86.3,7.2,Morning,,,,,,
249,368.73,85.5,7,Morning,,,,,,
250,343.23,86.2,6.9,Morning,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
