APPENDIX 1,,,,,,,,,,
PRODUCTION OF LAJAKKURUIH TABLETS,,,,,,,,,,
MONTH: APRIL 2023,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Tablet Name: PILL LAJAK KURUIH-F,,,,,,,,,,
Tablet Characteristics,,,,,,,,,,
,Weight (mg),Relative Density (%),Tensile Strength (Mpa),Shift,,,,,,
134,359.19,84.9,7.1,Evening,,,,,,
135,359.62,90.1,7.3,Evening,,,,,,
136,365.35,87.7,7,Evening,,,,,,
137,344.8,88.5,7.2,Morning,,,,,,
138,379.59,84.4,6.9,Night,,,,,,
139,340.36,87.4,7.2,Evening,,,,,,
140,369.04,88.2,7.1,Morning,,,,,,
141,320.92,84.8,7,Evening,,,,,,
142,357.75,92,7.5,Evening,,,,,,
143,334.46,90.3,7.3,Night,,,,,,
144,336.34,88.9,7.3,Night,,,,,,
145,377.37,88,7.1,Morning,,,,,,
146,348.72,88.1,7.1,Night,,,,,,
147,363.53,91,7.4,Night,,,,,,
148,346.94,90.1,7.3,Evening,,,,,,
149,332.5,93.2,7.4,Night,,,,,,
150,353.93,86.7,7.1,Evening,,,,,,
151,347.66,88.5,7.3,Night,,,,,,
152,369.65,85.9,6.9,Night,,,,,,
153,322.68,90.9,7.3,Morning,,,,,,
154,333.34,86.1,6.9,Evening,,,,,,
155,366.39,88.8,7.1,Morning,,,,,,
156,355.06,88.1,7.3,Morning,,,,,,
157,363.38,87.1,7,Night,,,,,,
158,333.7,89.4,7.3,Evening,,,,,,
159,342.04,86.3,7.1,Night,,,,,,
160,353.01,85.3,7,Evening,,,,,,
161,357.01,87.3,7.4,Evening,,,,,,
162,361.24,84.4,6.9,Morning,,,,,,
163,358.6,90.5,7.4,Night,,,,,,
164,341.87,83.6,6.8,Evening,,,,,,
165,361.43,89.7,7.4,Morning,,,,,,
166,357.86,89.5,7.4,Morning,,,,,,
167,349.63,86.7,7,Evening,,,,,,
168,321.6,82.9,6.8,Morning,,,,,,
169,359.25,89.1,7.3,Morning,,,,,,
170,329.7,89.8,7.4,Morning,,,,,,
171,367.9,84.7,6.8,Evening,,,,,,
172,337.04,89.1,7.1,Morning,,,,,,
173,303.51,88.2,7,Morning,,,,,,
174,337.95,84.3,6.8,Night,,,,,,
175,357,86.2,7.2,Morning,,,,,,
176,328.78,90,7.2,Morning,,,,,,
177,335.44,87.7,7.2,Evening,,,,,,
178,331.96,91.7,7.4,Morning,,,,,,
179,365.37,84.6,6.9,Evening,,,,,,
180,331.79,88.8,7.3,Evening,,,,,,
181,344.21,87.7,7.1,Night,,,,,,
182,373.56,85.8,6.9,Evening,,,,,,
183,319.88,85.4,7,Evening,,,,,,
184,375.35,88.7,7,Morning,,,,,,
185,349.24,88.8,7.2,Night,,,,,,
186,366.68,91,7.1,Night,,,,,,
187,370.04,88.3,7.2,Evening,,,,,,
188,332.25,94.3,7.7,Night,,,,,,
189,338.24,90.5,7.4,Night,,,,,,
190,335.49,88,7.2,Night,,,,,,
191,350.96,86.8,7,Morning,,,,,,
192,340.14,88.4,7.1,Morning,,,,,,
193,356.99,88.7,7.3,Evening,,,,,,
194,342.41,87.2,7.2,Morning,,,,,,
195,349.18,88.2,7,Morning,,,,,,
196,345.49,83.5,6.8,Evening,,,,,,
197,362.12,87.8,7,Evening,,,,,,
198,358.96,85.7,7,Evening,,,,,,
199,331.71,93.2,7.6,Morning,,,,,,
200,348.82,91.6,7.6,Morning,,,,,,
201,347.14,86.8,7.1,Morning,,,,,,
202,349.05,86.8,7.2,Morning,,,,,,
203,327.9,87.6,7,Night,,,,,,
204,354.04,87,7,Night,,,,,,
205,365.06,87.2,7.2,Evening,,,,,,
206,359.3,87.1,7,Evening,,,,,,
207,351.99,86.6,7,Night,,,,,,
208,367.63,87.2,7.1,Evening,,,,,,
209,338.21,88.7,7.3,Morning,,,,,,
210,337.27,86.7,7,Evening,,,,,,
211,380.38,89.8,7.1,Evening,,,,,,
212,347.5,89.1,7.2,Evening,,,,,,
213,345.97,90.1,7.2,Morning,,,,,,
214,374.22,88.4,7.3,Night,,,,,,
215,352.36,91.4,7.5,Night,,,,,,
216,368.36,86.9,7,Night,,,,,,
217,331.09,88.5,7.2,Morning,,,,,,
218,341.04,85.3,6.9,Evening,,,,,,
219,325.04,85.7,6.9,Evening,,,,,,
220,346.41,86.9,7,Night,,,,,,
221,351.77,84.9,7,Night,,,,,,
222,358.67,86.8,7,Evening,,,,,,
223,378.93,84.9,7,Evening,,,,,,
224,354.15,88.6,7.2,Evening,,,,,,
225,334.59,83.9,6.9,Night,,,,,,
226,352.5,86.8,7.1,Evening,,,,,,
227,331.63,87,7,Night,,,,,,
228,374.52,88.5,7.1,Morning,,,,,,
229,330.63,88.7,7,Morning,,,,,,
230,345.18,92.7,7.5,Evening,,,,,,
231,354.31,87.9,7.1,Night,,,,,,
232,360.27,91.6,7.4,Morning,,,,,,
233,344.17,86.3,6.8,Morning,,,,,,
234,349.02,84.8,6.9,Evening,,,,,,
235,362.1,88.8,7.2,Evening,,,,,,
236,374.47,86,7,Evening,,,,,,
237,354.62,88.7,7.1,Morning,,,,,,
238,353.67,88.4,7.1,Morning,,,,,,
239,356.92,89.3,7,Evening,,,,,,
240,348.12,87.4,7.2,Night,,,,,,
241,356.37,93.3,7.7,Evening,,,,,,
242,319.23,86.4,6.9,Night,,,,,,
243,330.3,87.6,7.3,Night,,,,,,
244,374.98,87.4,7.3,Morning,,,,,,
245,344.82,89.1,7.3,Morning,,,,,,
246,334.53,90.6,7.4,Evening,,,,,,
247,348.12,89.3,7.4,Night,,,,,,
248,355.2,86.6,7.1,Evening,,,,,,
249,362.49,91,7.5,Morning,,,,,,
250,351.43,89.9,7.2,Night,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
