APPENDIX 1,,,,,,,,,,,
PRODUCTION OF LAJAKKURUIH TABLETS,,,,,,,,,,,
MONTH: APRIL 2023,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Tablet Name: PILL LAJAK KURUIH-O,,,,,,,,,,,
Tablet Characteristics,,,,,,,,,,,
,Weight (mg),Relative Density (%),Tensile Strength (Mpa),Shift,,,,,,,
47,348.04,85.9,6.9,Evening,,,,,,,
48,343.18,87.2,7,Morning,,,,,,,
49,344.27,84.2,6.8,Morning,,,,,,,
50,367.37,91.1,7.2,Morning,,,,,,,
51,335.62,88.1,7.2,Night,,,,,,,
52,347.19,90.1,7.2,Night,,,,,,,
53,322.68,87.8,7.2,Night,,,,,,,
54,351.51,88.4,7.2,Evening,,,,,,,
55,360.34,89.9,7.4,Morning,,,,,,,
56,363.47,87.5,7.1,Night,,,,,,,
57,346.25,90,7.1,Evening,,,,,,,
58,354.47,85.1,6.8,Night,,,,,,,
59,353.35,88.1,7.1,Morning,,,,,,,
60,348.86,88.8,7.2,Night,,,,,,,
61,355.51,89.1,6.9,Night,,,,,,,
62,346.05,87.7,6.9,Night,,,,,,,
63,356.41,88.6,7.4,Evening,,,,,,,
64,347.46,90.4,7.4,Morning,,,,,,,
65,336.2,88.6,7.2,Evening,,,,,,,
66,347.54,89,7.3,Morning,,,,,,,
67,340.2,91.6,7.5,Evening,,,,,,,
68,347.62,90.1,7.3,Night,,,,,,,
69,338.49,87.8,7.2,Morning,,,,,,,
70,361.69,88,7.1,Night,,,,,,,
71,346.97,87.1,7.1,Evening,,,,,,,
72,361.9,90.4,7.3,Night,,,,,,,
73,335.75,87.1,6.9,Morning,,,,,,,
74,337.56,89.9,7.4,Evening,,,,,,,
75,368.29,85.3,6.9,Evening,,,,,,,
76,353.43,87.2,6.9,Evening,,,,,,,
77,346.48,85.1,6.9,Night,,,,,,,
78,351.51,85.6,6.9,Morning,,,,,,,
79,369.41,86.4,7,Night,,,,,,,
80,361.37,87.7,7.1,Morning,,,,,,,
81,353.35,85.2,6.9,Night,,,,,,,
82,311.49,87.2,7,Night,,,,,,,
83,339.64,87.1,6.9,Evening,,,,,,,
84,332.64,89.4,7.3,Morning,,,,,,,
85,359.79,88.7,7.1,Night,,,,,,,
86,351.07,89.5,7.1,Evening,,,,,,,
87,349.24,90.4,7.2,Morning,,,,,,,
88,386.29,88.5,7,Night,,,,,,,
89,385.03,82.9,6.7,Night,,,,,,,
90,362.82,91.5,7.1,Night,,,,,,,
91,346.74,88.5,7.3,Evening,,,,,,,
92,333.71,81.7,6.5,Evening,,,,,,,
93,343.87,85,6.9,Night,,,,,,,
94,365.9,88,7.2,Evening,,,,,,,
95,333.01,89.6,7.2,Night,,,,,,,
96,367.1,87,7,Morning,,,,,,,
97,369.84,87.1,6.9,Night,,,,,,,
98,337.98,89.5,7.2,Morning,,,,,,,
99,346.98,84.4,6.7,Morning,,,,,,,
100,352.67,84.9,6.8,Night,,,,,,,
101,343.58,89.5,7.2,Morning,,,,,,,
102,362.22,88.1,7.1,Evening,,,,,,,
103,349.27,89,7.1,Night,,,,,,,
104,333.83,89.3,7.3,Evening,,,,,,,
105,371.82,83.9,6.6,Morning,,,,,,,
106,315.83,89.1,7.2,Morning,,,,,,,
107,355.88,85.7,7,Night,,,,,,,
108,338.45,84.1,6.6,Night,,,,,,,
109,340.43,86.2,7,Night,,,,,,,
110,347.12,89,7.2,Night,,,,,,,
111,335.07,90.8,7.2,Morning,,,,,,,
112,376.07,85.4,6.9,Morning,,,,,,,
113,384.67,86.3,7,Morning,,,,,,,
114,341.19,85.7,7,Evening,,,,,,,
115,374.92,86.5,6.8,Morning,,,,,,,
116,344.97,89,7.1,Evening,,,,,,,
117,346.1,87.6,7.2,Night,,,,,,,
118,341.07,86.9,7,Night,,,,,,,
119,317.79,89,7.2,Night,,,,,,,
120,358.44,87.2,7.1,Morning,,,,,,,
121,344.29,85.5,6.9,Morning,,,,,,,
122,345.3,88,6.9,Night,,,,,,,
123,351.98,88.6,7.3,Evening,,,,,,,
124,343.56,87.4,6.9,Evening,,,,,,,
125,317.36,86.8,7.1,Morning,,,,,,,
126,348.89,86.4,7,Morning,,,,,,,
127,356.48,87.5,7,Night,,,,,,,
128,348.57,88.5,7.2,Night,,,,,,,
129,355.14,88,7.3,Evening,,,,,,,
130,346.86,87.2,7.1,Evening,,,,,,,
131,325.5,86.1,6.9,Night,,,,,,,
132,331.11,86.7,7,Morning,,,,,,,
133,342.01,90.6,7.4,Evening,,,,,,,
134,369.06,82.7,6.7,Morning,,,,,,,
135,361.26,87.1,7.2,Morning,,,,,,,
136,366.46,90.7,7.2,Morning,,,,,,,
137,349.12,87.7,7.1,Evening,,,,,,,
138,359.52,86.6,6.9,Evening,,,,,,,
139,362.65,86.1,6.8,Morning,,,,,,,
140,356.51,89.2,7.2,Night,,,,,,,
141,331.1,90.1,7.3,Night,,,,,,,
142,359.02,90.4,7.6,Evening,,,,,,,
143,342.42,85.5,6.9,Morning,,,,,,,
144,324.09,88.8,7.1,Evening,,,,,,,
145,368.56,88.1,7.1,Morning,,,,,,,
146,351.06,84.5,6.7,Evening,,,,,,,
147,361.21,88.2,7.1,Night,,,,,,,
148,346.75,87.9,7,Night,,,,,,,
149,357.36,84.4,6.6,Night,,,,,,,
150,329.85,87,7,Night,,,,,,,
151,375.04,86.7,7,Evening,,,,,,,
152,374.07,88.5,7.2,Night,,,,,,,
153,363.18,85.8,7,Evening,,,,,,,
154,349.32,90.1,7.4,Evening,,,,,,,
155,345.15,88,7.2,Night,,,,,,,
156,339.45,84,6.7,Night,,,,,,,
157,358.62,88.3,7.1,Night,,,,,,,
158,367.78,86.9,7,Evening,,,,,,,
159,336.19,90.7,7.4,Night,,,,,,,
160,344.4,86.8,7.1,Evening,,,,,,,
161,346.51,91.5,7.5,Night,,,,,,,
162,355.13,90.5,7.1,Morning,,,,,,,
163,335.51,87.6,7.2,Evening,,,,,,,
164,384.09,87.9,7.2,Morning,,,,,,,
165,356.84,87.3,7.1,Morning,,,,,,,
166,334.17,89.4,7.2,Night,,,,,,,
167,330.58,85,6.9,Morning,,,,,,,
168,340.17,87.3,7.1,Night,,,,,,,
169,331.79,89.6,7.3,Morning,,,,,,,
170,366.45,87.5,7,Morning,,,,,,,
171,346.5,91.7,7.2,Morning,,,,,,,
172,356.88,87.4,7.1,Evening,,,,,,,
173,351.8,87.5,7,Evening,,,,,,,
174,341.3,88.7,7.2,Morning,,,,,,,
175,331.21,89.7,7.2,Night,,,,,,,
176,357.67,91.5,7.6,Evening,,,,,,,
177,341.5,88.5,7,Night,,,,,,,
178,336.43,86.7,7.1,Night,,,,,,,
179,338.54,84,6.7,Evening,,,,,,,
180,358.72,86.8,7.1,Morning,,,,,,,
181,363.6,94.1,7.5,Morning,,,,,,,
182,349.92,86.1,6.9,Evening,,,,,,,
183,332.43,86.9,7,Evening,,,,,,,
184,358.04,86.3,6.9,Morning,,,,,,,
185,366.67,89.5,7.2,Evening,,,,,,,
186,347.1,90.1,7.1,Night,,,,,,,
187,363.85,87.2,7,Night,,,,,,,
188,336.12,88.7,7.2,Evening,,,,,,,
189,347.52,89.2,7.2,Evening,,,,,,,
190,354.49,91.3,7.5,Night,,,,,,,
191,354.58,90.6,7.4,Morning,,,,,,,
192,357.36,89.5,7,Night,,,,,,,
193,364.01,86.5,7.2,Evening,,,,,,,
194,351.79,87.1,6.9,Morning,,,,,,,
195,353.72,86.1,6.8,Morning,,,,,,,
196,349.11,86,6.9,Night,,,,,,,
197,373.99,84.6,6.8,Night,,,,,,,
198,344.85,89.4,7,Night,,,,,,,
199,358.51,85.8,7,Evening,,,,,,,
200,352.68,87.4,7,Morning,,,,,,,
201,350.4,89.7,7.2,Morning,,,,,,,
202,349.49,88.4,7.3,Morning,,,,,,,
203,326.38,85.9,6.8,Evening,,,,,,,
204,342.55,87.1,7.1,Night,,,,,,,
205,326.41,87.5,7,Morning,,,,,,,
206,363.01,87.6,7.1,Night,,,,,,,
207,351.14,89.9,7.2,Morning,,,,,,,
208,357,87.3,7,Evening,,,,,,,
209,338.38,89.7,7.1,Morning,,,,,,,
210,367.37,89.7,7.1,Morning,,,,,,,
211,335.62,88.1,7.2,Night,,,,,,,
212,347.19,90.1,7.2,Night,,,,,,,
213,322.68,87.8,7.2,Night,,,,,,,
214,351.51,88.4,7.2,Evening,,,,,,,
215,360.34,89.9,7.4,Morning,,,,,,,
216,363.47,87.5,7.1,Night,,,,,,,
217,346.25,90,7.1,Evening,,,,,,,
218,354.47,85.1,6.8,Night,,,,,,,
219,353.35,88.1,7.1,Morning,,,,,,,
220,348.86,88.8,7.2,Night,,,,,,,
221,368.29,85.3,6.9,Evening,,,,,,,
222,353.43,87.2,6.9,Evening,,,,,,,
223,346.48,85.1,6.9,Night,,,,,,,
224,351.51,85.6,6.9,Morning,,,,,,,
225,369.41,86.4,7,Night,,,,,,,
226,361.37,87.7,7.1,Morning,,,,,,,
227,353.35,85.2,6.9,Night,,,,,,,
228,311.49,87.2,7,Night,,,,,,,
229,339.64,87.1,6.9,Evening,,,,,,,
230,332.64,89.4,7.3,Morning,,,,,,,
231,374.92,86.5,6.8,Morning,,,,,,,
232,344.97,89,7.1,Evening,,,,,,,
233,346.1,87.6,7.2,Night,,,,,,,
234,341.07,86.9,7,Night,,,,,,,
235,317.79,89,7.2,Night,,,,,,,
236,358.44,87.2,7.1,Morning,,,,,,,
237,344.29,85.5,6.9,Morning,,,,,,,
238,345.3,88,6.9,Night,,,,,,,
239,351.98,88.6,7.3,Evening,,,,,,,
240,343.56,87.4,6.9,Evening,,,,,,,
241,384.09,87.9,7.2,Morning,,,,,,,
242,356.84,87.3,7.1,Morning,,,,,,,
243,334.17,89.4,7.2,Night,,,,,,,
244,330.58,85,6.9,Morning,,,,,,,
245,340.17,87.3,7.1,Night,,,,,,,
246,331.79,89.6,7.3,Morning,,,,,,,
247,366.45,87.5,7,Morning,,,,,,,
248,346.5,91.7,7.2,Morning,,,,,,,
249,356.88,87.4,7.1,Evening,,,,,,,
250,351.8,87.5,7,Evening,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
