APPENDIX 1,,,,,,,,
PRODUCTION OF LAJAKKURUIH TABLETS,,,,,,,,
MONTH: APRIL 2023,,,,,,,,
,,,,,,,,
,,,,,,,,
Tablet Name: PILL LAJAK KURUIH-I,,,,,,,,
Tablet Characteristics,,,,,,,,
,Weight (mg),Relative Density (%),Tensile Strength (Mpa),Shift,,,,
93,314.49,89.6,7.1,Evening,,,,
94,359.29,88,7.1,Evening,,,,
95,376.94,88.8,7.1,Night,,,,
96,345.23,85,6.9,Morning,,,,
97,354.35,87.6,7,Evening,,,,
98,338.66,90.8,7.3,Evening,,,,
99,334.17,88.7,7.1,Night,,,,
100,362.65,89.7,7.2,Night,,,,
101,326.33,88.4,7.3,Night,,,,
102,342.28,83.7,6.7,Night,,,,
103,347.71,85,7,Evening,,,,
104,353.52,89.2,7.2,Evening,,,,
105,359.91,85.6,7,Night,,,,
106,338.95,88.4,7,Night,,,,
107,345.68,88.6,7.1,Night,,,,
108,344.22,87.1,7.2,Morning,,,,
109,342.32,89.8,7.4,Evening,,,,
110,354.56,87.9,7.2,Night,,,,
111,345.13,88.4,7.1,Evening,,,,
112,358.81,83.3,6.5,Evening,,,,
113,343.45,91,7.3,Evening,,,,
114,370.92,89.2,7.1,Evening,,,,
115,336.41,87.1,6.9,Night,,,,
116,353.74,85.6,6.9,Evening,,,,
117,371.85,89.7,7.3,Morning,,,,
118,347.98,87.5,6.9,Evening,,,,
119,354.16,91.1,7.4,Morning,,,,
120,348.24,84.8,6.9,Night,,,,
121,339.52,86.5,6.9,Night,,,,
122,380.59,86.2,6.7,Night,,,,
123,346.07,87.2,6.9,Evening,,,,
124,353.4,87,7,Night,,,,
125,334.36,87.6,7.2,Evening,,,,
126,326.5,88.8,7.3,Night,,,,
127,368.8,88.4,7.2,Night,,,,
128,336.68,87.5,7.1,Evening,,,,
129,358.41,88.4,7.1,Evening,,,,
130,389.48,89.6,7.2,Morning,,,,
131,334.16,88,7,Night,,,,
132,347.86,89.8,7.2,Night,,,,
133,337.05,89.1,7.2,Evening,,,,
134,331.2,86.6,6.9,Night,,,,
135,334.42,89.1,7.1,Night,,,,
136,367.49,86,6.9,Morning,,,,
137,379.45,85.4,6.9,Night,,,,
138,333.88,88.3,7.3,Evening,,,,
139,350.92,88.5,7.2,Morning,,,,
140,364.87,84.4,6.8,Morning,,,,
141,349.83,88.1,7.3,Evening,,,,
142,358.78,89.7,7.3,Night,,,,
143,367.56,85.9,7,Evening,,,,
144,372.15,85.4,7,Night,,,,
145,351.38,86.4,7.2,Night,,,,
146,355.12,87.7,7.1,Evening,,,,
147,345.74,84,6.8,Night,,,,
148,349.76,88.1,7,Morning,,,,
149,345.69,91.9,7.4,Evening,,,,
150,333.61,88.2,7.2,Morning,,,,
151,374.12,87.8,7.1,Night,,,,
152,368.07,85.2,6.8,Morning,,,,
153,325.36,86.9,7.1,Morning,,,,
154,361.77,86.7,6.9,Evening,,,,
155,345.36,83.7,6.9,Night,,,,
156,346.49,90,7.1,Morning,,,,
157,341.6,88.4,7.1,Night,,,,
158,341.25,84.1,6.8,Night,,,,
159,343.73,88.7,7.3,Night,,,,
160,353.38,88.7,7,Evening,,,,
161,347.79,85,6.9,Morning,,,,
162,378.81,88.5,6.9,Evening,,,,
163,339.34,90.4,7.3,Evening,,,,
164,357.78,88.6,7.1,Evening,,,,
165,358.94,90.7,7.4,Night,,,,
166,358.79,87.8,7.1,Morning,,,,
167,350.27,88.1,7,Morning,,,,
168,345.18,88.8,7.1,Evening,,,,
169,341.82,89.6,7.2,Morning,,,,
170,365.64,87.9,7.1,Morning,,,,
171,365.01,87.8,7.2,Night,,,,
172,341,90,7.3,Evening,,,,
173,362.55,86,6.9,Night,,,,
174,348.1,88.8,7.2,Night,,,,
175,354.63,83.8,6.8,Evening,,,,
176,344.65,84.8,7,Night,,,,
177,362.13,89.3,7.2,Morning,,,,
178,340.79,90.3,7.4,Morning,,,,
179,366.23,88.2,7.2,Evening,,,,
180,323.03,89.3,7.1,Morning,,,,
181,353.64,87.6,7.1,Evening,,,,
182,327.67,91.1,7.2,Morning,,,,
183,354.42,91.7,7.3,Evening,,,,
184,318.52,89.8,7.3,Night,,,,
185,352.67,87.1,7.2,Night,,,,
186,357,90.4,7.2,Evening,,,,
187,359.45,89.4,7.2,Night,,,,
188,345.62,86.3,6.8,Evening,,,,
189,333.1,89.1,7.4,Morning,,,,
190,360.58,86.9,7.2,Evening,,,,
191,370.35,87,6.9,Morning,,,,
192,361.76,85.6,6.9,Morning,,,,
193,361.03,94.7,7.7,Night,,,,
194,353.64,87.6,7.1,Evening,,,,
195,356.32,88.6,7.1,Morning,,,,
196,350.61,88.6,7.1,Evening,,,,
197,368.52,85.9,6.9,Evening,,,,
198,351.59,87.2,6.9,Night,,,,
199,335.09,88.9,7.2,Evening,,,,
200,334.68,85,6.8,Night,,,,
201,352,85.8,6.8,Morning,,,,
202,353.05,88.3,7.1,Night,,,,
203,372.62,85.3,6.8,Night,,,,
204,353.31,89.9,7.2,Evening,,,,
205,359.59,89,7.2,Night,,,,
206,365.59,89.9,7.2,Evening,,,,
207,339.64,92.8,7.4,Morning,,,,
208,339.48,86.7,7.1,Morning,,,,
209,345.5,88,7.2,Night,,,,
210,353.27,89.2,7.3,Morning,,,,
211,342.88,90.5,7.3,Evening,,,,
212,350.05,87.7,7,Evening,,,,
213,325.97,88.1,6.9,Evening,,,,
214,371.48,86.1,7,Morning,,,,
215,332.56,87.5,7.1,Night,,,,
216,342.6,88.5,7.2,Evening,,,,
217,340.58,90,7.3,Evening,,,,
218,330.98,89.5,7.2,Evening,,,,
219,355.01,88.3,7.2,Evening,,,,
220,367.89,92,7.5,Morning,,,,
221,339.52,86.5,6.9,Night,,,,
222,380.59,86.2,6.7,Night,,,,
223,346.07,87.2,6.9,Evening,,,,
224,353.4,87,7,Night,,,,
225,334.36,87.6,7.2,Evening,,,,
226,326.5,88.8,7.3,Night,,,,
227,368.8,88.4,7.2,Night,,,,
228,336.68,87.5,7.1,Evening,,,,
229,358.41,88.4,7.1,Evening,,,,
230,389.48,89.6,7.2,Morning,,,,
231,347.79,85,6.9,Morning,,,,
232,378.81,88.5,6.9,Evening,,,,
233,339.34,90.4,7.3,Evening,,,,
234,357.78,88.6,7.1,Evening,,,,
235,358.94,90.7,7.4,Night,,,,
236,358.79,87.8,7.1,Morning,,,,
237,350.27,88.1,7,Morning,,,,
238,345.18,88.8,7.1,Evening,,,,
239,341.82,89.6,7.2,Morning,,,,
240,365.64,87.9,7.1,Morning,,,,
241,353.64,87.6,7.1,Evening,,,,
242,327.67,91.1,7.2,Morning,,,,
243,354.42,91.7,7.3,Evening,,,,
244,318.52,89.8,7.3,Night,,,,
245,352.67,87.1,7.2,Night,,,,
246,357,90.4,7.2,Evening,,,,
247,359.45,89.4,7.2,Night,,,,
248,345.62,86.3,6.8,Evening,,,,
249,333.1,89.1,7.4,Morning,,,,
250,360.58,86.9,7.2,Evening,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
