APPENDIX 1,,,,,,,,,,
PRODUCTION OF LAJAKKURUIH TABLETS,,,,,,,,,,
MONTH: APRIL 2023,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Tablet Name: PILL LAJAK KURUIH-K,,,,,,,,,,
Tablet Characteristics,,,,,,,,,,
,Weight (mg),Relative Density (%),Tensile Strength (Mpa),Shift,,,,,,
117,359.24,86.9,7,Morning,,,,,,
118,339.6,87.7,7,Evening,,,,,,
119,335.49,89.2,7.3,Evening,,,,,,
120,344.01,89,7.2,Night,,,,,,
121,362.55,84.2,6.7,Morning,,,,,,
122,367.06,85.7,6.9,Morning,,,,,,
123,360.34,87.4,7.1,Evening,,,,,,
124,363.66,86.6,6.9,Morning,,,,,,
125,340.75,85,6.8,Morning,,,,,,
126,336.61,89.1,7,Evening,,,,,,
127,379.14,89.1,7.2,Night,,,,,,
128,343.27,87,7.2,Morning,,,,,,
129,364.63,86.6,6.8,Night,,,,,,
130,369.62,88.7,7.3,Evening,,,,,,
131,337.35,85.9,7,Night,,,,,,
132,342.43,86.3,7,Night,,,,,,
133,344.01,86.5,7,Morning,,,,,,
134,345.57,85.6,7,Morning,,,,,,
135,369.64,90.1,7.3,Evening,,,,,,
136,346.62,89.2,7.2,Morning,,,,,,
137,341.6,87.2,7.1,Night,,,,,,
138,346.58,86.3,7.1,Morning,,,,,,
139,334.31,89.7,7.2,Evening,,,,,,
140,361.08,88.9,7.3,Night,,,,,,
141,337.64,86.5,7.1,Night,,,,,,
142,341.55,88,7,Morning,,,,,,
143,351.31,87.6,7.1,Night,,,,,,
144,332.32,90.9,7.3,Evening,,,,,,
145,341.7,85.7,6.9,Night,,,,,,
146,355.89,84.7,6.8,Evening,,,,,,
147,346,90.4,7.3,Evening,,,,,,
148,326.64,86.8,7.2,Night,,,,,,
149,354.86,88.9,7.3,Night,,,,,,
150,342.79,84.9,7,Night,,,,,,
151,371.23,91.5,7.4,Evening,,,,,,
152,347.07,85.9,6.7,Night,,,,,,
153,329.23,85.5,7,Morning,,,,,,
154,370.96,89.6,7.3,Morning,,,,,,
155,341.6,86.7,7.1,Morning,,,,,,
156,349.58,87.3,7.2,Evening,,,,,,
157,339.35,90,7.2,Morning,,,,,,
158,344.74,90.5,7.3,Night,,,,,,
159,350.94,91.8,7.5,Night,,,,,,
160,389.02,88.5,7,Night,,,,,,
161,332.57,83.3,6.7,Evening,,,,,,
162,365.96,89.3,7.2,Night,,,,,,
163,353.2,87.1,7.2,Evening,,,,,,
164,336.64,84,6.8,Evening,,,,,,
165,343.33,88.2,7.2,Evening,,,,,,
166,370.52,90.4,7.3,Morning,,,,,,
167,338.18,89.5,7.2,Evening,,,,,,
168,351.5,90.3,7.3,Morning,,,,,,
169,345.37,88.5,7.1,Morning,,,,,,
170,357.83,91.4,7.4,Night,,,,,,
171,359.6,88.2,7,Morning,,,,,,
172,343.22,86.4,7.1,Night,,,,,,
173,326.9,89,7.1,Night,,,,,,
174,337.79,91.4,7.4,Night,,,,,,
175,367.54,84.8,6.7,Evening,,,,,,
176,344.39,88.2,7.1,Night,,,,,,
177,355.56,86.1,6.9,Morning,,,,,,
178,350.4,85.1,6.9,Evening,,,,,,
179,326.67,88.8,7.1,Night,,,,,,
180,347.54,86.9,6.9,Night,,,,,,
181,329.03,86.9,6.9,Night,,,,,,
182,347.59,88.7,7.1,Evening,,,,,,
183,347.13,88,7,Morning,,,,,,
184,345.24,85.6,6.6,Night,,,,,,
185,340.92,87,7,Morning,,,,,,
186,343.28,86.7,7,Night,,,,,,
187,347.59,84.5,6.9,Morning,,,,,,
188,339.11,91.5,7.4,Evening,,,,,,
189,348.68,83.3,6.9,Evening,,,,,,
190,347.81,87.6,7.1,Night,,,,,,
191,354.89,88,7.1,Evening,,,,,,
192,325.04,90.5,7.4,Evening,,,,,,
193,357.6,89.5,7.2,Night,,,,,,
194,350.91,85.4,6.9,Morning,,,,,,
195,352.83,90.6,7.4,Morning,,,,,,
196,352.51,88.3,7.1,Night,,,,,,
197,361.12,89.1,7.1,Evening,,,,,,
198,339.38,83.8,6.7,Night,,,,,,
199,328.32,84.4,6.7,Night,,,,,,
200,345.57,90.2,7.3,Morning,,,,,,
201,346.37,92.6,7.4,Morning,,,,,,
202,348.4,89.1,7.3,Night,,,,,,
203,357.16,84.4,6.9,Morning,,,,,,
204,351.29,84,6.8,Night,,,,,,
205,339.62,84.7,6.7,Night,,,,,,
206,359.69,92.2,7.5,Evening,,,,,,
207,353.18,86.8,7,Morning,,,,,,
208,351.65,90,7.2,Evening,,,,,,
209,357.28,85.8,6.8,Morning,,,,,,
210,335.62,89.2,7.2,Night,,,,,,
211,352.88,86.9,6.9,Morning,,,,,,
212,371.94,90.3,7.3,Night,,,,,,
213,332.71,88.4,7.1,Morning,,,,,,
214,368.91,92.9,7.6,Evening,,,,,,
215,333.63,89.1,7.2,Morning,,,,,,
216,343.42,85.8,6.8,Evening,,,,,,
217,348.4,90.8,7.5,Night,,,,,,
218,356.94,89.4,7.2,Evening,,,,,,
219,345.14,87.6,7,Evening,,,,,,
220,347.18,85,6.9,Evening,,,,,,
221,331.42,90.9,7.2,Evening,,,,,,
222,358.99,86.6,7.1,Night,,,,,,
223,361.97,84.9,6.8,Evening,,,,,,
224,340.57,87.6,7,Morning,,,,,,
225,351.38,87.5,7.1,Morning,,,,,,
226,357.51,89.3,7.1,Night,,,,,,
227,349.38,88.9,7.3,Night,,,,,,
228,359.64,87.9,7.1,Night,,,,,,
229,357,86.2,6.8,Morning,,,,,,
230,339.19,87.3,6.8,Evening,,,,,,
231,345.57,85.6,7,Morning,,,,,,
232,369.64,90.1,7.3,Evening,,,,,,
233,346.62,89.2,7.2,Morning,,,,,,
234,341.6,87.2,7.1,Night,,,,,,
235,346.58,86.3,7.1,Morning,,,,,,
236,334.31,89.7,7.2,Evening,,,,,,
237,361.08,88.9,7.3,Night,,,,,,
238,337.64,86.5,7.1,Night,,,,,,
239,341.55,88,7,Morning,,,,,,
240,351.31,87.6,7.1,Night,,,,,,
241,389.02,88.5,7,Night,,,,,,
242,332.57,83.3,6.7,Evening,,,,,,
243,365.96,89.3,7.2,Night,,,,,,
244,353.2,87.1,7.2,Evening,,,,,,
245,336.64,84,6.8,Evening,,,,,,
246,343.33,88.2,7.2,Evening,,,,,,
247,370.52,90.4,7.3,Morning,,,,,,
248,338.18,89.5,7.2,Evening,,,,,,
249,351.5,90.3,7.3,Morning,,,,,,
250,345.37,88.5,7.1,Morning,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
