APPENDIX 1,,,,,,,,,,,
PRODUCTION OF LAJAKKURUIH TABLETS,,,,,,,,,,,
MONTH: APRIL 2023,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Tablet Name: PILL LAJAK KURUIH-D,,,,,,,,,,,
Tablet Characteristics,,,,,,,,,,,
,Weight (mg),Relative Density (%),Tensile Strength (Mpa),Shift,,,,,,,
57,345.22,87.9,7.3,Evening,,,,,,,
58,355.2,87.8,7.1,Night,,,,,,,
59,343.06,88.9,7,Morning,,,,,,,
60,322.17,86.6,7.2,Night,,,,,,,
61,342.55,93,7.6,Evening,,,,,,,
62,352.72,90.1,7.2,Night,,,,,,,
63,335.94,89.9,7.4,Night,,,,,,,
64,365.05,84.7,6.9,Evening,,,,,,,
65,348.08,88.5,7.2,Night,,,,,,,
66,355.52,88.1,7.2,Evening,,,,,,,
67,360.53,89.6,7.4,Night,,,,,,,
68,370.99,88.2,7.3,Evening,,,,,,,
69,357.51,85.4,6.8,Morning,,,,,,,
70,365.99,84.3,7,Night,,,,,,,
71,357.94,90.4,7.3,Night,,,,,,,
72,361.58,87,7.2,Night,,,,,,,
73,362.37,88.6,7.3,Night,,,,,,,
74,333.12,84.6,7,Evening,,,,,,,
75,341.13,90.7,7.2,Morning,,,,,,,
76,351.33,88.6,7.2,Evening,,,,,,,
77,349.94,87.9,7.1,Night,,,,,,,
78,374.44,83.9,6.8,Evening,,,,,,,
79,356.89,89.4,7.2,Evening,,,,,,,
80,349.21,90.9,7.5,Evening,,,,,,,
81,336.07,87.6,7.2,Morning,,,,,,,
82,333.64,94.4,7.7,Night,,,,,,,
83,343.33,90,7.2,Night,,,,,,,
84,366.26,86.1,7.1,Morning,,,,,,,
85,353.28,88.3,7.2,Evening,,,,,,,
86,337.61,87.8,7.3,Night,,,,,,,
87,340.74,90.4,7.3,Evening,,,,,,,
88,340.8,91.7,7.5,Evening,,,,,,,
89,363.1,87.4,7.2,Morning,,,,,,,
90,344.8,89.1,7.2,Evening,,,,,,,
91,332.61,86.5,7.2,Night,,,,,,,
92,348.88,90.6,7.3,Morning,,,,,,,
93,338.95,86.6,7.1,Evening,,,,,,,
94,365.54,87.4,7.1,Night,,,,,,,
95,337.67,85.7,6.9,Morning,,,,,,,
96,326.9,88.4,7.2,Morning,,,,,,,
97,346.85,85.3,6.9,Night,,,,,,,
98,325.76,86.5,6.9,Morning,,,,,,,
99,323.44,87.3,6.9,Morning,,,,,,,
100,358.89,86.5,6.9,Night,,,,,,,
101,358.77,89.2,7.1,Morning,,,,,,,
102,344.92,88.8,7.4,Morning,,,,,,,
103,340.18,83.2,6.8,Night,,,,,,,
104,337.09,88.1,7.1,Night,,,,,,,
105,342.05,86.2,6.9,Night,,,,,,,
106,339.79,85.2,7,Night,,,,,,,
107,380.68,87.9,6.9,Morning,,,,,,,
108,350.5,87.2,7,Night,,,,,,,
109,340.56,90.7,7.4,Evening,,,,,,,
110,365.34,85.1,6.9,Night,,,,,,,
111,361.4,84.5,7,Night,,,,,,,
112,343.83,89.2,7.2,Night,,,,,,,
113,328.85,86.8,7,Evening,,,,,,,
114,372,84.8,6.8,Evening,,,,,,,
115,351.27,82,6.7,Evening,,,,,,,
116,330.74,86.2,7.1,Night,,,,,,,
117,351.42,86.6,7.1,Morning,,,,,,,
118,351.56,91.7,7.4,Morning,,,,,,,
119,349.86,87.9,7.1,Evening,,,,,,,
120,340.46,88.4,7.2,Morning,,,,,,,
121,352,87.6,7.3,Night,,,,,,,
122,360.89,86.4,7.1,Night,,,,,,,
123,355.63,88.2,7.1,Morning,,,,,,,
124,351.31,87.3,7,Night,,,,,,,
125,350.84,89,7.2,Night,,,,,,,
126,347.06,87.5,7.2,Evening,,,,,,,
127,358.93,87.5,7.3,Morning,,,,,,,
128,369.23,91.9,7.2,Evening,,,,,,,
129,323,86.7,7.1,Night,,,,,,,
130,345.69,87.8,7.1,Night,,,,,,,
131,349.12,88.8,7.5,Morning,,,,,,,
132,369.56,87.1,7.2,Morning,,,,,,,
133,345.6,88.9,7.2,Morning,,,,,,,
134,367.86,90.3,7.4,Night,,,,,,,
135,363.76,91.7,7.4,Evening,,,,,,,
136,352.33,88.7,7.3,Evening,,,,,,,
137,356.88,87.5,7.1,Evening,,,,,,,
138,355.01,88.1,7.3,Evening,,,,,,,
139,351.96,86,7,Evening,,,,,,,
140,324.95,88.1,7.1,Morning,,,,,,,
141,344.23,87.1,7.2,Evening,,,,,,,
142,334.51,89.3,7.4,Evening,,,,,,,
143,349.89,87.8,7.1,Night,,,,,,,
144,348.63,87.8,7.1,Evening,,,,,,,
145,347.98,88.9,7.2,Morning,,,,,,,
146,342.2,87.1,7,Morning,,,,,,,
147,353.86,84.8,6.9,Morning,,,,,,,
148,359.84,86.4,6.8,Evening,,,,,,,
149,339.45,90.5,7.4,Evening,,,,,,,
150,332.98,88.3,6.9,Morning,,,,,,,
151,352.03,88.2,6.9,Night,,,,,,,
152,360.04,88,7,Morning,,,,,,,
153,353.15,89.9,7.2,Evening,,,,,,,
154,345.47,92.7,7.5,Morning,,,,,,,
155,344.22,87.4,7.2,Evening,,,,,,,
156,371.62,88.1,7,Morning,,,,,,,
157,336.14,86.5,7.2,Evening,,,,,,,
158,348.61,89.2,7.1,Evening,,,,,,,
159,347.08,84,6.9,Evening,,,,,,,
160,352.21,89.9,7.2,Morning,,,,,,,
161,368.5,85.8,7.1,Night,,,,,,,
162,380.35,87.3,7.1,Morning,,,,,,,
163,348.77,87.6,7.1,Night,,,,,,,
164,342.13,88.6,7.3,Night,,,,,,,
165,349.34,88.3,7.2,Night,,,,,,,
166,360.27,90,7.5,Night,,,,,,,
167,357.64,87.5,7,Morning,,,,,,,
168,352,92.1,7.4,Morning,,,,,,,
169,344.44,89.9,7.3,Evening,,,,,,,
170,368.27,84.7,6.8,Morning,,,,,,,
171,364.45,88.6,7.3,Morning,,,,,,,
172,363.64,85.3,6.9,Night,,,,,,,
173,317.85,93.3,7.6,Evening,,,,,,,
174,350.44,89,7.2,Morning,,,,,,,
175,326.96,86.5,7.1,Evening,,,,,,,
176,363.34,89.3,7.2,Morning,,,,,,,
177,372.94,86.7,7,Night,,,,,,,
178,358.74,89.1,7.2,Night,,,,,,,
179,343.8,86.1,6.9,Morning,,,,,,,
180,361.6,88.6,7.2,Evening,,,,,,,
181,340.4,89.2,7.1,Morning,,,,,,,
182,330.07,88.8,7.1,Evening,,,,,,,
183,352.51,89.7,7.2,Night,,,,,,,
184,335.15,88.2,7.2,Morning,,,,,,,
185,360.6,89.3,7.3,Night,,,,,,,
186,346.23,88.5,7,Night,,,,,,,
187,334.39,84.1,6.8,Evening,,,,,,,
188,340.51,91.6,7.4,Night,,,,,,,
189,354.66,89.9,7.1,Morning,,,,,,,
190,374.22,83.8,6.6,Night,,,,,,,
191,330.83,91.8,7.3,Night,,,,,,,
192,325.73,87.9,7.1,Evening,,,,,,,
193,360.14,86.8,7,Night,,,,,,,
194,343.95,90.4,7.4,Morning,,,,,,,
195,359.03,88.6,7.3,Morning,,,,,,,
196,350.35,92.3,7.5,Evening,,,,,,,
197,344.58,87.3,7,Morning,,,,,,,
198,344.52,87.8,7,Night,,,,,,,
199,352.41,90,7.4,Morning,,,,,,,
200,337.98,86,7.1,Morning,,,,,,,
201,358.77,89.2,7.1,Morning,,,,,,,
202,344.92,88.8,7.4,Morning,,,,,,,
203,340.18,83.2,6.8,Night,,,,,,,
204,337.09,88.1,7.1,Night,,,,,,,
205,342.05,86.2,6.9,Night,,,,,,,
206,339.79,85.2,7,Night,,,,,,,
207,380.68,87.9,6.9,Morning,,,,,,,
208,350.5,87.2,7,Night,,,,,,,
209,340.56,90.7,7.4,Evening,,,,,,,
210,365.34,85.1,6.9,Night,,,,,,,
211,352,87.6,7.3,Night,,,,,,,
212,360.89,86.4,7.1,Night,,,,,,,
213,355.63,88.2,7.1,Morning,,,,,,,
214,351.31,87.3,7,Night,,,,,,,
215,350.84,89,7.2,Night,,,,,,,
216,347.06,87.5,7.2,Evening,,,,,,,
217,358.93,87.5,7.3,Morning,,,,,,,
218,369.23,91.9,7.2,Evening,,,,,,,
219,323,86.7,7.1,Night,,,,,,,
220,345.69,87.8,7.1,Night,,,,,,,
221,344.23,87.1,7.2,Evening,,,,,,,
222,334.51,89.3,7.4,Evening,,,,,,,
223,349.89,87.8,7.1,Night,,,,,,,
224,348.63,87.8,7.1,Evening,,,,,,,
225,347.98,88.9,7.2,Morning,,,,,,,
226,342.2,87.1,7,Morning,,,,,,,
227,353.86,84.8,6.9,Morning,,,,,,,
228,359.84,86.4,6.8,Evening,,,,,,,
229,339.45,90.5,7.4,Evening,,,,,,,
230,332.98,88.3,6.9,Morning,,,,,,,
231,368.5,85.8,7.1,Night,,,,,,,
232,380.35,87.3,7.1,Morning,,,,,,,
233,348.77,87.6,7.1,Night,,,,,,,
234,342.13,88.6,7.3,Night,,,,,,,
235,349.34,88.3,7.2,Night,,,,,,,
236,360.27,90,7.5,Night,,,,,,,
237,357.64,87.5,7,Morning,,,,,,,
238,352,92.1,7.4,Morning,,,,,,,
239,344.44,89.9,7.3,Evening,,,,,,,
240,368.27,84.7,6.8,Morning,,,,,,,
241,340.4,89.2,7.1,Morning,,,,,,,
242,330.07,88.8,7.1,Evening,,,,,,,
243,352.51,89.7,7.2,Night,,,,,,,
244,335.15,88.2,7.2,Morning,,,,,,,
245,360.6,89.3,7.3,Night,,,,,,,
246,346.23,88.5,7,Night,,,,,,,
247,334.39,84.1,6.8,Evening,,,,,,,
248,340.51,91.6,7.4,Night,,,,,,,
249,354.66,89.9,7.1,Morning,,,,,,,
250,374.22,83.8,6.6,Night,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
